original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier
1019,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1019,.,ten .%mor: imp|tene-2S&IMP=have .,%mor:
1020,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1021,?,y quien subió al tren ?%mor: coord|y=and pro:rel|quien=who v|subi-3S&PRET=go_up prepart|a~det:art|el&m=to n|tren&m=train ?,%mor:
1021,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1024,.,al árb(ol) .%mor: prepart|a~det:art|el&m=to n|árbol&m=tree .,%mor:
1022,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1026,?,un tren quien ?%mor: det:art|un&m=one n|tren&m=train pro:rel|quien=who ?,%mor:
1023,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1028,.,la (ar)dilla .%mor: det:art|el&f&SG=the n|ardilla&f=squirrel .,%mor:
1024,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1030,?,la ardilla ?%mor: det:art|el&f&SG=the n|ardilla&f=squirrel ?,%mor:
1025,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1032,.,sss@o .%mor: on|sss .,%mor:
1026,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1034,!,mira toma oy(e) !%mor: co|mira=look v|toma-3S&PRES=take co|oye=listen !,%mor:
1027,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1036,?,(.) que es ?%mor: pro:rel|que=that cop|se-3S&PRES=be ?,%mor:
1028,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1038,.,un caya [: cae] [*] (.) ah un um xxx .%mor: det:art|un&m=one v|cae-3S&PRES=fall co|ah det:art|un&m=one co|um .,%mor:
1029,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1040,?,cual ?%mor: pro:rel|cual=which ?,%mor:
1030,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1042,?,(.) cocodrilo ?%mor: n|cocodrilo&m=crocodile ?,%mor:
1031,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1044,.,no el cerdo .%mor: adv|no=no det:art|el&m&SG=the n|cerdo-m=hog .,%mor:
1032,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1046,.,xxx .,%mor:
1033,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1047,?,el cerdo ?%mor: det:art|el&m&SG=the n|cerdo-m=hog ?,%mor:
1034,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1049,.,xxx .,%mor:
1035,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1050,?,el caballo ?%mor: det:art|el&m&SG=the n|caballo&m=horse ?,%mor:
1036,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1052,.,xxx a (dor)mir .%mor: prepart|a=to inf|dormi-INF=sleep .,%mor:
1037,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1054,.,a dormir .%mor: prepart|a=to inf|dormi-INF=sleep .,%mor:
1038,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1056,.,xxx apa xxx niño .%mor: co|apa co|niño=child .,%mor:
1039,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1058,?,quien que xxx niños ahí ?%mor: pro:rel|quien=who prep|que=than n|niño-m-PL=child adv|ahí=there ?,%mor:
1040,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1060,.,caca [: camello] (.) eh: (.) (ca)mello .%mor: n|camello&m=camel co|eh n|camello&m=camel .,%mor:
1041,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1062,.,camello xxx .%mor: n|camello&m=camel .,%mor:
1042,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1064,.,eh (.) pa .%mor: co|eh co|pa .,%mor:
1043,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1066,.,perro .%mor: n|perro-m=dog .,%mor:
1044,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1068,.,no (.) no no (.) quin@c [: chiquitín] quin@c [: chiquitín] .%mor: adv|no=no adv|no=no adv|no=no n|chiquitín&m=infant n|chiquitín&m=infant .,%mor:
1045,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1071,?,el perro chiquitín ?%mor: det:art|el&m&SG=the n|perro-m=dog n|chiquitín&m=infant ?,%mor:
1046,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1073,.,no sé donde está el perro chiquitín .%mor: adv|no=no v|sabe-1S&PRES=know pro:rel|donde=where cop|esta-3S&PRES=be det:art|el&m&SG=the n|perro-m=dog n|chiquitín&m=infant .,%mor:
1047,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1077,.,yo qu(i)ero quin@c [: chiquitín] (.) vay@c quin@c [: chiquitín] xxx .%mor: pro:sub|yo=I v|quere-1S&PRES=want n|chiquitín&m=infant chi|vay n|chiquitín&m=infant .,%mor:
1048,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1081,?,cual ?%mor: pro:rel|cual=which ?,%mor:
1049,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1083,.,vay@c quin@c [: chiquitín] (.) grand(e) no .%mor: chi|vay n|chiquitín&m=infant adj|grande=big co|no .,%mor:
1050,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1085,?,el grande no el grande no le quieres ?%mor: det:art|el&m&SG=the adj|grande=big adv|no=no det:art|el&m&SG=the adj|grande=big adv|no=no pro:ind|le&m=him v|quere-2S&PRES=want ?,%mor:
1051,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1088,.,niña (pal)oma .%mor: co|niña=child n|palomo-f=dove .,%mor:
1052,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1090,.,una paloma .%mor: det:art|un-f=one n|palomo-f=dove .,%mor:
1053,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1092,.,un pájaro (.) volando volando volando .%mor: det:art|un&m=one n|pájaro-m=bird part|vola-PRPART=fly part|vola-PRPART=fly part|vola-PRPART=fly .,%mor:
1054,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1095,.,a la (ar)dilla (.) a la (ar)dilla .%mor: prepart|a=to det:art|el&f&SG=the n|ardilla&f=squirrel prepart|a=to det:art|el&f&SG=the n|ardilla&f=squirrel .,%mor:
1055,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1098,?,a la ardilla que le hace el pájaro a la ardilla ?%mor: prepart|a=to det:art|el&f&SG=the n|ardilla&f=squirrel pro:rel|que=that pro:ind|le&m=him v|hace-3S&PRES=do det:art|el&m&SG=the n|pájaro-m=bird prepart|a=to det:art|el&f&SG=the n|ardilla&f=squirrel ?,%mor:
1056,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1103,.,(cos)quillas .%mor: n|cosquilla&f-PL=tickle .,%mor:
1057,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1105,?,le hace cosquillas ?%mor: pro:ind|le&m=him v|hace-3S&PRES=do n|cosquilla&f-PL=tickle ?,%mor:
1058,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1107,.,(pal)oma .%mor: n|palomo-f=dove .,%mor:
1059,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1109,?,la paloma ?%mor: det:art|el&f&SG=the n|palomo-f=dove ?,%mor:
1060,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1111,.,sí (pal)oma .%mor: co|sí=yes n|palomo-f=dove .,%mor:
1061,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1113,.,la paloma .%mor: det:art|el&f&SG=the n|palomo-f=dove .,%mor:
1062,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1115,.,(pal)oma .%mor: n|palomo-f=dove .,%mor:
1063,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1117,.,eso es una paloma sí xxx .%mor: pro:dem|eso=that_one cop|se-3S&PRES=be det:art|un-f=one n|palomo-f=dove co|sí=yes .,%mor:
1064,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1120,.,la (pal)oma .%mor: det:art|el&f&SG=the n|palomo-f=dove .,%mor:
1065,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1122,?,y esto ?%mor: coord|y=and pro:dem|esto=this_one ?,%mor:
1066,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1124,.,una pala .%mor: det:art|un-f=one n|pala&f=wooden_shovel .,%mor:
1067,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1126,.,una pala .%mor: det:art|un-f=one n|pala&f=wooden_shovel .,%mor:
1068,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1128,?,donde está el cubo ?%mor: pro:rel|donde=where cop|esta-3S&PRES=be det:art|el&m&SG=the n|cubo&m=tub ?,%mor:
1069,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1131,.,um .%mor: co|um .,%mor:
1070,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1133,.,um .%mor: co|um .,%mor:
1071,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1135,.,allá (.) allá .%mor: adv|allá=there adv|allá=there .,%mor:
1072,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1137,.,no no está ahí no está ahí .%mor: adv|no=no adv|no=no cop|esta-3S&PRES=be adv|ahí=there adv|no=no cop|esta-3S&PRES=be adv|ahí=there .,%mor:
1073,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1140,.,nana .%mor: n|nana&f=grandma .,%mor:
1074,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1142,.,no está ahí .%mor: adv|no=no cop|esta-3S&PRES=be adv|ahí=there .,%mor:
1075,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1144,.,nana [: rana] [*] .%mor: n|rana&f=frog .,%mor:
1076,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1146,.,la rana .%mor: det:art|el&f&SG=the n|rana&f=frog .,%mor:
1077,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1148,.,pa pa .%mor: co|pa co|pa .,%mor:
1078,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1150,.,no está el perro .%mor: adv|no=no cop|esta-3S&PRES=be det:art|el&m&SG=the n|perro-m=dog .,%mor:
1079,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1152,.,tato (.) tato .%mor: co|tato co|tato .,%mor:
1080,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1154,?,un gato ?%mor: det:art|un&m=one n|gato-m=cat ?,%mor:
1081,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1156,.,no se donde está el gato a_ver en el libro a lo mejor hay un gato .%mor: adv|no=no pro:refl|se=itself pro:rel|donde=where cop|esta-3S&PRES=be det:art|el&m&SG=the n|gato-m=cat co|a_ver prep|en=in det:art|el&m&SG=the n|libro&m=book prepart|a=to pro:obj|le-m=him adj|mejor=better v|habe-3S&PRES&SPEC=have det:art|un&m=one n|gato-m=cat .,%mor:
1082,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1162,.,tato .%mor: co|tato .,%mor:
1083,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1164,.,gato .%mor: n|gato-m=cat .,%mor:
1084,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1166,.,grande .%mor: adj|grande=big .,%mor:
1085,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1168,!,ah !%mor: co|ah !,%mor:
1086,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1170,?,el grande quieres ?%mor: det:art|el&m&SG=the adj|grande=big v|quere-2S&PRES=want ?,%mor:
1087,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1172,.,nan [: tan] [*] grande (chiqui)tín no .%mor: adv|tan=such adj|grande=big n|chiquitín&m=infant adv|no=no .,%mor:
1088,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1175,?,el chiquitín no y esto que es ?%mor: det:art|el&m&SG=the n|chiquitín&m=infant adv|no=no coord|y=and pro:dem|esto=this_one pro:rel|que=that cop|se-3S&PRES=be ?,%mor:
1089,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1178,.,un tante [: elefante] [*] .%mor: det:art|un&m=one n|elefante&m=elephant .,%mor:
1090,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1180,?,y este ?%mor: coord|y=and det:dem|este=this ?,%mor:
1091,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1182,.,un (ra)tón .%mor: det:art|un&m=one n|rata&m-AUG=rat .,%mor:
1092,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1184,.,un ratón .%mor: det:art|un&m=one n|rata&m-AUG=rat .,%mor:
1093,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1186,.,tato no (es)tá .%mor: co|tato adv|no=no cop|esta-3S&PRES=be .,%mor:
1094,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1188,.,aquí está el perro .%mor: adv|aquí=here cop|esta-3S&PRES=be det:art|el&m&SG=the n|perro-m=dog .,%mor:
1095,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1191,.,no no tato va .%mor: adv|no=no adv|no=no co|tato co|va=go .,%mor:
1096,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1193,?,el perro y el gato ?%mor: det:art|el&m&SG=the n|perro-m=dog coord|y=and det:art|el&m&SG=the n|gato-m=cat ?,%mor:
1097,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1196,.,no tato de .%mor: adv|no=no co|tato prep|de=of .,%mor:
1098,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1198,.,de .%mor: prep|de=of .,%mor:
1099,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1200,?,pipa ?%mor: n|pipa&f=cask ?,%mor:
1100,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1202,?,te has hecho caca ?%mor: pro:obj|te=you aux|habe-2S&PRES=have part|hace-PPART-m=do n|caca&f=feces ?,%mor:
1101,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1205,.,caca .%mor: n|caca&f=feces .,%mor:
1102,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1207,?,te has hecho caca ?%mor: pro:obj|te=you aux|habe-2S&PRES=have part|hace-PPART-m=do n|caca&f=feces ?,%mor:
1103,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1210,.,xxx bonm@o xxx bonm@o xxx carne .%mor: on|bonm on|bonm n|carne&f=meat .,%mor:
1104,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1212,?,has comido carne ?%mor: aux|habe-2S&PRES=have part|come-PPART-m=eat n|carne&f=meat ?,%mor:
1105,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1214,?,has desayunado carne ?%mor: aux|habe-2S&PRES=have part|desayuna-PPART-m=breakfast n|carne&f=meat ?,%mor:
1106,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1217,.,que has desayunado .%mor: pro:rel|que=that aux|habe-2S&PRES=have part|desayuna-PPART-m=breakfast .,%mor:
1107,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1220,.,kikos@c .%mor: chi|kikos .,%mor:
1108,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1222,.,xxx .,%mor:
1109,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1223,.,queso .%mor: n|queso&m=cheese .,%mor:
1110,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1225,?,queso has desayunado queso ?%mor: n|queso&m=cheese aux|habe-2S&PRES=have part|desayuna-PPART-m=breakfast n|queso&m=cheese ?,%mor:
1111,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1228,.,le bubo [: huevo] .%mor: pro:ind|le&m=him n|huevo&m=egg .,%mor:
1112,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1230,!,huevo !%mor: n|huevo&m=egg !,%mor:
1113,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1232,.,caca .%mor: n|caca&f=feces .,%mor:
1114,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1234,!,leche !%mor: n|leche&f=milk !,%mor:
1115,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1236,.,y un plátano .%mor: coord|y=and det:art|un&m=one n|plátano&m=banana .,%mor:
1116,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1238,.,y un poco de pan .%mor: coord|y=and det:art|un&m=one adv|poco=few prep|de=of n|pan&m=bread .,%mor:
1117,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1241,.,xxx .,%mor:
1118,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1242,.,pan .%mor: n|pan&m=bread .,%mor:
1119,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1244,.,xxx .,%mor:
1120,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1246,.,agua (.) agua .%mor: n|agua&f=water n|agua&f=water .,%mor:
1121,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1248,?,que es eso ?%mor: pro:rel|que=that cop|se-3S&PRES=be pro:dem|eso=that_one ?,%mor:
1122,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1250,.,xxx .,%mor:
1123,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1251,.,agua (.) agua (.) nene tana@b .%mor: n|agua&f=water n|agua&f=water co|nene=baby bab|tana .,%mor:
1124,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1253,?,que es ?%mor: pro:rel|que=that cop|se-3S&PRES=be ?,%mor:
1125,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1255,.,pato pato .%mor: n|pato&m=duck n|pato&m=duck .,%mor:
1126,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1257,?,hay patos ahí ?%mor: v|habe-3S&PRES&SPEC=have n|pato&m-PL=duck adv|ahí=there ?,%mor:
1127,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1259,.,caballos .%mor: n|caballo&m-PL=horse .,%mor:
1128,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1261,?,y niños ?%mor: coord|y=and n|niño-m-PL=child ?,%mor:
1129,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1263,.,sí .%mor: co|sí=yes .,%mor:
1130,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1265,?,quieres que te ayude ?%mor: v|quere-2S&PRES=want pro:rel|que=that pro:obj|te=you v|ayuda-13S&SUB&PRES=help ?,%mor:
1131,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1268,.,voy a por um pitillo aquí ahora vuelvo .%mor: v|i-1S&PRES=go prepart|a=to prep|por=for co|um n|pito&m-DIM=pipe adv|aquí=here adv|ahora=now v|volve-1S&PRES=turn .,%mor:
1132,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1271,.,mama .%mor: v|mama-3S&PRES=suck .,%mor:
1133,020023.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,1274,.,un elefante se paseaba por la tela de una araña y como veía .%mor: det:art|un&m=one n|elefante&m=elephant pro:refl|se=itself v|pasea-13S&PAS=stroll prep|por=for det:art|el&f&SG=the n|tela&f=fabric prep|de=of det:art|un-f=one n|araña&f=spider coord|y=and adv|como=like v|ve-13S&PAS=see .,%mor:
1134,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1279,.,ay (.) ay .%mor: co|ay=ay co|ay=ay .,%mor:
1135,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1281,!,no te caigas !%mor: adv|no=no pro:obj|te=you v|cae-2S&SUB&PRES=fall !,%mor:
1136,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1283,.,no Yaya .%mor: co|no n:prop|Yaya .,%mor:
1137,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1285,.,es mío .%mor: cop|se-3S&PRES=be pro:poss|mío-m=mine .,%mor:
1138,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1287,.,no Yaya .%mor: co|no n:prop|Yaya .,%mor:
1139,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1289,?,que dices ?%mor: pro:rel|que=that v|deci-2S&PRES=say ?,%mor:
1140,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1291,?,mira lo que hay mira mira que es eso ?%mor: co|mira=look pro:obj|le-m=him pro:rel|que=that v|habe-3S&PRES&SPEC=have co|mira=look co|mira=look pro:rel|que=that cop|se-3S&PRES=be pro:dem|eso=that_one ?,%mor:
1141,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1295,.,un (bi)sonte .%mor: det:art|un&m=one n|bisonte&m=bison .,%mor:
1142,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1297,?,un bisonte ?%mor: det:art|un&m=one n|bisonte&m=bison ?,%mor:
1143,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1299,?,(.) y eso ?%mor: coord|y=and pro:dem|eso=that_one ?,%mor:
1144,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1301,.,un tante@s .%mor: det:art|un&m=one L2|tante .,%mor:
1145,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1303,?,que dices ?%mor: pro:rel|que=that v|deci-2S&PRES=say ?,%mor:
1146,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1305,.,no Yaya (.) no Yaya .%mor: co|no n:prop|Yaya adv|no=no n:prop|Yaya .,%mor:
1147,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1307,?,has cogido el papel del tabaco Josetxu ?%mor: aux|habe-2S&PRES=have part|coge-PPART-m=take det:art|el&m&SG=the n|papel&m=paper prep|de~det:art|el&m=of n|tabaco&m=tobacco n:prop|Josetxu ?,%mor:
1148,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1311,.,no Yaya (.) no Yaya .%mor: co|no n:prop|Yaya adv|no=no n:prop|Yaya .,%mor:
1149,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1313,.,Josetxu espera .%mor: n:prop|Josetxu v|espera-3S&PRES=wait .,%mor:
1150,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1315,.,no cojas el reloj como me rompas ahora el reloj .%mor: adv|no=no v|coge-2S&SUB&PRES=take det:art|el&m&SG=the n|reloj&m=clock adv|como=like pro:obj|me=me v|rompe-2S&SUB&PRES=break adv|ahora=now det:art|el&m&SG=the n|reloj&m=clock .,%mor:
1151,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1320,.,Yaya (.) nana nana .%mor: n:prop|Yaya n|nana&f=grandma n|nana&f=grandma .,%mor:
1152,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1322,.,trae trae trae que te vas a quemar .%mor: v|trae-3S&PRES=carry v|trae-3S&PRES=carry v|trae-3S&PRES=carry pro:rel|que=that pro:obj|te=you v|i-2S&PRES=go prepart|a=to inf|quema-INF=burn .,%mor:
1153,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1326,.,trae trae .%mor: v|trae-3S&PRES=carry v|trae-3S&PRES=carry .,%mor:
1154,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1328,.,deja eso ahí .%mor: v|deja-3S&PRES=leave pro:dem|eso=that_one adv|ahí=there .,%mor:
1155,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1330,.,de &ya Yaya .%mor: prep|de=of n:prop|Yaya .,%mor:
1156,020023.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,1332,.,que si has cogido el papel de hacer pitillos .%mor: pro:rel|que=that conj|si=if aux|habe-2S&PRES=have part|coge-PPART-m=take det:art|el&m&SG=the n|papel&m=paper prep|de=of inf|hace-INF=do n|pito&m-DIM-PL=pipe .,%mor:
1157,020023.cha,spa,Linaza,CHI,2;00.23,.,.,.,Target_Child,.,.,1336,.,xxx .,%mor:
1158,020100.cha,spa,Linaza,CHI,2;01.00,.,.,.,Target_Child,.,.,16,.,xxx .,%mor:
1159,020100.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,17,.,xxx .,%mor:
1160,020100.cha,spa,Linaza,CHI,2;01.00,.,.,.,Target_Child,.,.,18,.,xxx .,%mor:
1161,020100.cha,spa,Linaza,MAD,.,.,.,.,Mother,.,.,19,.,Josetxu xxx .%mor: n:prop|Josetxu .,%mor:
1162,020100.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,21,.,ven aquí ven aquí .%mor: imp|veni-2S&IMP=come adv|aquí=here imp|veni-2S&IMP=come adv|aquí=here .,%mor:
1163,020100.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,24,?,que es esto ?%mor: pro:rel|que=that cop|se-3S&PRES=be pro:dem|esto=this_one ?,%mor:
1164,020100.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,26,?,de quien son estas botas ?%mor: prep|de=of pro:rel|quien=who cop|se-3P&PRES=be det:dem|este-f-PL=this n|bota&f-PL=wine_bag ?,%mor:
1165,020100.cha,spa,Linaza,CHI,2;01.00,.,.,.,Target_Child,.,.,29,.,de Juan .%mor: prep|de=of n:prop|Juan .,%mor:
1166,020100.cha,spa,Linaza,CHI,2;01.00,.,.,.,Target_Child,.,.,31,.,no Yaya [= María Victoria] (.) no Yaya [= María Victoria] (.) no Yaya [= María Victoria] .%mor: co|no n:prop|Yaya adv|no=no n:prop|Yaya adv|no=no n:prop|Yaya .,%mor:
1167,020100.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,34,?,Josetxu (.) pero no es de Juan esta bota ?%mor: n:prop|Josetxu conj|pero=but adv|no=no cop|se-3S&PRES=be prep|de=of n:prop|Juan det:dem|este-f=this n|bota&f=wine_bag ?,%mor:
1168,020100.cha,spa,Linaza,PAD,.,.,.,.,Father,.,.,37,?,o es de Oliver ?%mor: coord|o=or cop|se-3S&PRES=be prep|de=of n:prop|Oliver ?,%mor:
1169,020100.cha,spa,Linaza,CHI,2;01.00,.,.,.,Target_Child,.,.,39,.,no de Juan .%mor: adv|no=no prep|de=of n:prop|Juan .,%mor:
