original_order,file,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,pre/post,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes,
2487,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1274,.,+< una torre .%mor: det:art|un-f=one n|torre&f=tower .,%mor:,0,,,,0,0,0,,,,,
2488,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1276,.,una casa .%mor: det:art|un-f=one n|casa&f=house .,%mor:,0,,,,0,0,0,,,,,
2489,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1278,?,&ah es casa ?%mor: cop|se-3S&PRES=be n|casa&f=house ?,%mor:,0,,,,0,0,0,,,,,
2490,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1278,cop|se-3s&pres=be,&ah es casa ?%mor: cop|se-3S&PRES=be n|casa&f=house ?,%svd:,ser,0,,0,3,s,pres,,,,,
2491,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1280,.,pensé que era una torre .%mor: v|pensa-1S&PRET=think pro:rel|que=that cop|se-13S&PAS=be det:art|un-f=one n|torre&f=tower .,%mor:,0,,,,0,0,0,,,,,
2492,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1280,v|pensa-1s&pret=think,pensé que era una torre .%mor: v|pensa-1S&PRET=think pro:rel|que=that cop|se-13S&PAS=be det:art|un-f=one n|torre&f=tower .,%svd:,pensar,0,,1,1,s,pret,,switch,,,
2493,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1280,cop|se-13s&pas=be,pensé que era una torre .%mor: v|pensa-1S&PRET=think pro:rel|que=that cop|se-13S&PAS=be det:art|un-f=one n|torre&f=tower .,%svd:,ser,0,,0,3,s,pas,,,,,
2494,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1284,.,ya tiraste la casa .%mor: adv|ya=already v|tira-2S&PRET=throw det:art|el&f&SG=the n|casa&f=house .,%mor:,0,,,,0,0,0,,,,,
2495,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1284,v|tira-2s&pret=throw,ya tiraste la casa .%mor: adv|ya=already v|tira-2S&PRET=throw det:art|el&f&SG=the n|casa&f=house .,%svd:,tirar,0,,1,2,s,pret,,switch,,,
2496,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1287,?,me la puedes armar ?%mor: pro:obj|me=me pro:obj|la&f=she v|pode-2S&PRES=can inf|arma-INF=arm ?,%mor:,0,,,,0,0,0,,,,,
2497,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1287,v|pode-2s&pres=can,me la puedes armar ?%mor: pro:obj|me=me pro:obj|la&f=she v|pode-2S&PRES=can inf|arma-INF=arm ?,%svd:,poder,0,,1,2,s,pres,,,,,
2498,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1290,.,más yo pongo éste y lu(eg)o éste .%mor: adv|más=more pro:sub|yo=I v|pone-1S&PRES=put pro:dem|éste=this_one coord|y=and adv|luego=afterwards pro:dem|éste=this_one .,%mor:,0,,,,0,0,0,,,,,
2499,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1290,v|pone-1s&pres=put,más yo pongo éste y lu(eg)o éste .%mor: adv|más=more pro:sub|yo=I v|pone-1S&PRES=put pro:dem|éste=this_one coord|y=and adv|luego=afterwards pro:dem|éste=this_one .,%svd:,poner,1,,1,1,s,pres,,switch,,,
2500,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1293,+...,ah mira aquí hay un barquito de +...%mor: co|ah co|mira=look adv|aquí=here v|habe-3S&PRES&SPEC=have det:art|un&m=one n|barco&m-DIM=boat prep|de=of +...,%mor:,0,,,,0,0,0,,,,,
2501,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1293,v|habe-3s&pres&spec=have,ah mira aquí hay un barquito de +...%mor: co|ah co|mira=look adv|aquí=here v|habe-3S&PRES&SPEC=have det:art|un&m=one n|barco&m-DIM=boat prep|de=of +...,%svd:,haber,na,na,na,na,na,na,na,na,na,exclude,
2502,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1296,.,puedes hacer un barquito .%mor: v|pode-2S&PRES=can inf|hace-INF=do det:art|un&m=one n|barco&m-DIM=boat .,%mor:,0,,,,0,0,0,,,,,
2503,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1296,v|pode-2s&pres=can,puedes hacer un barquito .%mor: v|pode-2S&PRES=can inf|hace-INF=do det:art|un&m=one n|barco&m-DIM=boat .,%svd:,poder,0,,1,2,s,pres,,,,,
2504,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1299,?,así ?%mor: adv|así=thus ?,%mor:,0,,,,0,0,0,,,,,
2505,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1301,.,&ajá .,%mor:,0,,,,0,0,0,,,,,
2506,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1302,?,no ?%mor: adv|no=no ?,%mor:,0,,,,0,0,0,,,,,
2507,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1304,.,no &q era así .%mor: adv|no=no cop|se-13S&PAS=be adv|así=thus .,%mor:,0,,,,0,0,0,,,,,
2508,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1304,cop|se-13s&pas=be,no &q era así .%mor: adv|no=no cop|se-13S&PAS=be adv|así=thus .,%svd:,ser,0,,0,3,s,pas,,,,,
2509,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1306,.,tiene los triángulos .%mor: v|tene-3S&PRES=have det:art|el&m-PL=the n|triángulo&m-PL=triangle .,%mor:,0,,,,0,0,0,,,,,
2510,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1306,v|tene-3s&pres=have,tiene los triángulos .%mor: v|tene-3S&PRES=have det:art|el&m-PL=the n|triángulo&m-PL=triangle .,%svd:,tener,0,,0,3,s,pres,,,,,
2511,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1308,.,se te va a caer .%mor: pro:refl|se=itself pro:obj|te=you v|i-3S&PRES=go aprep|a=to inf|cae-INF=fall .,%mor:,0,,,,0,0,0,,,,,
2512,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1308,v|i-3s&pres=go,se te va a caer .%mor: pro:refl|se=itself pro:obj|te=you v|i-3S&PRES=go aprep|a=to inf|cae-INF=fall .,%svd:,ir,0,,0,3,s,pres,,,,,
2513,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1311,.,ándale así .%mor: imp|anda-2S&IMP~pro:clit|3S=walk adv|así=thus .,%mor:,0,,,,0,0,0,,,,,
2514,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1313,.,no están al revés .%mor: adv|no=no cop|esta-3P&PRES=be aprep|a~det:art|el&m=to n|revés&m=reverse .,%mor:,0,,,,0,0,0,,,,,
2515,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1313,cop|esta-3p&pres=be,no están al revés .%mor: adv|no=no cop|esta-3P&PRES=be aprep|a~det:art|el&m=to n|revés&m=reverse .,%svd:,estar,0,,0,3,p,pres,,,,,
2516,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1316,.,hacia adentro .%mor: prep|hacia=towards adv|adentro=inside .,%mor:,0,,,,0,0,0,,,,,
2517,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1318,?,no ?%mor: adv|no=no ?,%mor:,0,,,,0,0,0,,,,,
2518,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1320,.,eso .%mor: pro:dem|eso=that_one .,%mor:,0,,,,0,0,0,,,,,
2519,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1322,.,que van así mira así .%mor: prep|que=than v|i-3P&PRES=go adv|así=thus co|mira=look adv|así=thus .,%mor:,0,,,,0,0,0,,,,,
2520,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1322,v|i-3p&pres=go,que van así mira así .%mor: prep|que=than v|i-3P&PRES=go adv|así=thus co|mira=look adv|así=thus .,%svd:,ir,0,,0,3,p,pres,,,,,
2521,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1325,?,así no ?%mor: adv|así=thus adv|no=no ?,%mor:,0,,,,0,0,0,,,,,
2522,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1327,.,van (.) este para acá (.) y así el otro también .%mor: v|i-3P&PRES=go det:dem|este=this prep|para=for adv|acá=there coord|y=and adv|así=thus det:art|el&m&SG=the pro:indef|otro-m=other adv|también=also .,%mor:,0,,,,0,0,0,,,,,
2523,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1327,v|i-3p&pres=go,van (.) este para acá (.) y así el otro también .%mor: v|i-3P&PRES=go det:dem|este=this prep|para=for adv|acá=there coord|y=and adv|así=thus det:art|el&m&SG=the pro:indef|otro-m=other adv|también=also .,%svd:,ir,0,,0,3,p,pres,,,,,
2524,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1331,?,no verdad ?%mor: co|no=no co|verdad=right ?,%mor:,0,,,,0,0,0,,,,,
2525,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1333,.,&mm .,%mor:,0,,,,0,0,0,,,,,
2526,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1334,.,no .%mor: adv|no=no .,%mor:,0,,,,0,0,0,,,,,
2527,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1336,.,se estaban bien como los habías puesto .%mor: pro:refl|se=itself cop|esta-3P&PAS=be adv|bien=well adv|como=like pro:obj|él&m-PL=he v|habe-2S&PAS=have n|puesto&m=post .,%mor:,0,,,,0,0,0,,,,,
2528,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1336,cop|esta-3p&pas=be,se estaban bien como los habías puesto .%mor: pro:refl|se=itself cop|esta-3P&PAS=be adv|bien=well adv|como=like pro:obj|él&m-PL=he v|habe-2S&PAS=have n|puesto&m=post .,%svd:,estar,0,,0,3,p,pas,,,,,
2529,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1336,v|habe-2s&pas=have,se estaban bien como los habías puesto .%mor: pro:refl|se=itself cop|esta-3P&PAS=be adv|bien=well adv|como=like pro:obj|él&m-PL=he v|habe-2S&PAS=have n|puesto&m=post .,%svd:,haber,0,,1,2,s,pas,switch,switch,,,
2530,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1339,.,eso muy bien .%mor: pro:dem|eso=that_one adv|muy=very adv|bien=well .,%mor:,0,,,,0,0,0,,,,,
2531,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1341,.,&hmm .,%mor:,0,,,,0,0,0,,,,,
2532,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1342,?,xx &ajá mamá ?%mor: n|mamá&f=mommy ?,%mor:,0,,,,0,0,0,,,,,
2533,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1344,.,&mhmm .,%mor:,0,,,,0,0,0,,,,,
2534,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1345,?,hay muchos de estos no allá ?%mor: v|habe-3S&PRES&SPEC=have det:indef|mucho-m-PL=many prep|de=of det:dem|este-m-PL=this adv|no=no adv|allá=there ?,%mor:,0,,,,0,0,0,,,,,
2535,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1345,v|habe-3s&pres&spec=have,hay muchos de estos no allá ?%mor: v|habe-3S&PRES&SPEC=have det:indef|mucho-m-PL=many prep|de=of det:dem|este-m-PL=this adv|no=no adv|allá=there ?,%svd:,haber,na,na,na,na,na,na,na,na,na,exclude,
2536,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1348,?,o no ?%mor: coord|o=or adv|no=no ?,%mor:,0,,,,0,0,0,,,,,
2537,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1350,.,&hmm .,%mor:,0,,,,0,0,0,,,,,
2538,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1351,?,quieres que te traigo ot(r)o pa(ra) lo (ar)mes ?%mor: v|quere-2S&PRES=want pro:rel|que=that pro:obj|te=you v|trae-1S&PRES=carry pro:indef|otro-m=other prep|para=for pro:obj|lo&m=him v|arma-2S&SUB&PRES=arm ?,%mor:,0,,,,0,0,0,,,,,
2539,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1351,v|quere-2s&pres=want,quieres que te traigo ot(r)o pa(ra) lo (ar)mes ?%mor: v|quere-2S&PRES=want pro:rel|que=that pro:obj|te=you v|trae-1S&PRES=carry pro:indef|otro-m=other prep|para=for pro:obj|lo&m=him v|arma-2S&SUB&PRES=arm ?,%svd:,querer,0,,1,2,s,pres,,,,,
2540,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1351,v|trae-1s&pres=carry,quieres que te traigo ot(r)o pa(ra) lo (ar)mes ?%mor: v|quere-2S&PRES=want pro:rel|que=that pro:obj|te=you v|trae-1S&PRES=carry pro:indef|otro-m=other prep|para=for pro:obj|lo&m=him v|arma-2S&SUB&PRES=arm ?,%svd:,traer,0,,1,1,s,pres,switch,switch,,,
2541,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1351,v|arma-2s&sub&pres=arm,quieres que te traigo ot(r)o pa(ra) lo (ar)mes ?%mor: v|quere-2S&PRES=want pro:rel|que=that pro:obj|te=you v|trae-1S&PRES=carry pro:indef|otro-m=other prep|para=for pro:obj|lo&m=him v|arma-2S&SUB&PRES=arm ?,%svd:,armar,0,,1,2,s,sub&pres,switch,switch,,,
2542,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1355,.,&mhm .,%mor:,0,,,,0,0,0,,,,,
2543,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1356,?,te trai(g)o dos para (es)cojas &ajá ?%mor: pro:obj|te=you v|trae-1S&PRES=carry det:num|dos=two prep|para=for v|escoge-2S&SUB&PRES=select ?,%mor:,0,,,,0,0,0,,,,,
2544,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1356,v|trae-1s&pres=carry,te trai(g)o dos para (es)cojas &ajá ?%mor: pro:obj|te=you v|trae-1S&PRES=carry det:num|dos=two prep|para=for v|escoge-2S&SUB&PRES=select ?,%svd:,traer,0,,1,1,s,pres,,,,,
2545,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1356,v|escoge-2s&sub&pres=select,te trai(g)o dos para (es)cojas &ajá ?%mor: pro:obj|te=you v|trae-1S&PRES=carry det:num|dos=two prep|para=for v|escoge-2S&SUB&PRES=select ?,%svd:,escoger,0,,1,2,s,sub&pres,switch,switch,,,
2546,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1359,.,&mhm .,%mor:,0,,,,0,0,0,,,,,
2547,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1360,.,mida [: mira] lo que es .%mor: co|mira=look pro:obj|lo&m=him pro:rel|que=that cop|se-3S&PRES=be .,%mor:,0,,,,0,0,0,,,,,
2548,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1360,cop|se-3s&pres=be,mida [: mira] lo que es .%mor: co|mira=look pro:obj|lo&m=him pro:rel|que=that cop|se-3S&PRES=be .,%svd:,ser,na,na,na,na,na,na,na,na,na,exclude,
2549,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1362,+...,una tortuga y +...%mor: det:art|un-f=one n|tortuga&m=tortoise coord|y=and +...,%mor:,0,,,,0,0,0,,,,,
2550,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1364,.,no no es una toltuga [: tortuga] .%mor: adv|no=no adv|no=no cop|se-3S&PRES=be det:art|un-f=one n|tortuga&m=tortoise .,%mor:,0,,,,0,0,0,,,,,
2551,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1364,cop|se-3s&pres=be,no no es una toltuga [: tortuga] .%mor: adv|no=no adv|no=no cop|se-3S&PRES=be det:art|un-f=one n|tortuga&m=tortoise .,%svd:,ser,0,,1,3,s,pres,,,,,
2552,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1367,.,un caracol .%mor: det:art|un&m=one n|caracol&m=snail .,%mor:,0,,,,0,0,0,,,,,
2553,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1369,.,+< un caracol y un y un osito .%mor: det:art|un&m=one n|caracol&m=snail coord|y=and det:art|un&m=one coord|y=and det:art|un&m=one n|oso&m-DIM=bear .,%mor:,0,,,,0,0,0,,,,,
2554,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1372,.,+< &ah sí y un oso .%mor: co|sí=yes coord|y=and det:art|un&m=one n|oso-m=bear .,%mor:,0,,,,0,0,0,,,,,
2555,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1374,.,no &es escoge .%mor: adv|no=no imp|escoge-2S&IMP=select .,%mor:,0,,,,0,0,0,,,,,
2556,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1376,?,pero no tienes este (..) las cintitas ?%mor: conj|pero=but adv|no=no v|tene-2S&PRES=have det:dem|este=this det:art|el&f-PL=the n|cinta&f-DIM-PL=ribbon ?,%mor:,0,,,,0,0,0,,,,,
2557,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1376,v|tene-2s&pres=have,pero no tienes este (..) las cintitas ?%mor: conj|pero=but adv|no=no v|tene-2S&PRES=have det:dem|este=this det:art|el&f-PL=the n|cinta&f-DIM-PL=ribbon ?,%svd:,tener,0,,1,2,s,pres,,,,,
2558,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1379,?,pero no hay otros ?%mor: conj|pero=but adv|no=no v|habe-3S&PRES&SPEC=have pro:indef|otro-m-PL=other ?,%mor:,0,,,,0,0,0,,,,,
2559,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1379,v|habe-3s&pres&spec=have,pero no hay otros ?%mor: conj|pero=but adv|no=no v|habe-3S&PRES&SPEC=have pro:indef|otro-m-PL=other ?,%svd:,haber,na,na,na,na,na,na,na,na,na,exclude,
2560,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1382,.,no .%mor: adv|no=no .,%mor:,0,,,,0,0,0,,,,,
2561,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1384,.,no .%mor: adv|no=no .,%mor:,0,,,,0,0,0,,,,,
2562,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1386,.,la otra vez sí había .%mor: det:art|el&f&SG=the det:indef|otro-f=other n|vez&f=turn co|sí=yes v|habe-13S&PAS=have .,%mor:,0,,,,0,0,0,,,,,
2563,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1386,v|habe-13s&pas=have,la otra vez sí había .%mor: det:art|el&f&SG=the det:indef|otro-f=other n|vez&f=turn co|sí=yes v|habe-13S&PAS=have .,%svd:,haber,na,na,na,na,na,na,na,na,na,exclude,
2564,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1389,?,si has jugado con éste o no ?%mor: conj|si=if aux|habe-2S&PRES=have part|juga-PPART-m=play prep|con=with pro:dem|éste=this_one coord|o=or adv|no=no ?,%mor:,0,,,,0,0,0,,,,,
2565,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1389,aux|habe-2s&pres=have,si has jugado con éste o no ?%mor: conj|si=if aux|habe-2S&PRES=have part|juga-PPART-m=play prep|con=with pro:dem|éste=this_one coord|o=or adv|no=no ?,%svd:,haber,0,,1,2,s,pres,,,,,
2566,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1393,.,+< aquí cosa .%mor: adv|aquí=here n|cosa&f=thing .,%mor:,0,,,,0,0,0,,,,,
2567,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1395,.,chí [: sí] .%mor: co|sí=yes .,%mor:,0,,,,0,0,0,,,,,
2568,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1397,?,sí ?%mor: co|sí=yes ?,%mor:,0,,,,0,0,0,,,,,
2569,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,MOT,.,.,.,.,Mother,.,.,1399,?,cuándo ?%mor: pro:int|cuándo=when ?,%mor:,0,,,,0,0,0,,,,,
2570,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1401,+...,&hm yo no +...%mor: pro:sub|yo=I adv|no=no +...,%mor:,0,,,,0,0,0,,,,,
2571,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1403,.,cuando se va la miss@s:e vamos al salón aquí y digo no es éste y luego ya ya ya jugamos con este .%mor: conj|cuando=when pro:refl|se=itself v|i-3S&PRES=go det:art|el&f&SG=the L2|miss v|i-1P&PRES=go aprep|a~det:art|el&m=to n|salón&m=hall adv|aquí=here coord|y=and v|deci-1S&PRES=say adv|no=no cop|se-3S&PRES=be pro:dem|éste=this_one coord|y=and adv|luego=afterwards adv|ya=already adv|ya=already adv|ya=already v|juga-1P&PRES&PRET=play prep|con=with det:dem|este=this .,%mor:,0,,,,0,0,0,,,,,
2572,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1403,v|i-3s&pres=go,cuando se va la miss@s:e vamos al salón aquí y digo no es éste y luego ya ya ya jugamos con este .%mor: conj|cuando=when pro:refl|se=itself v|i-3S&PRES=go det:art|el&f&SG=the L2|miss v|i-1P&PRES=go aprep|a~det:art|el&m=to n|salón&m=hall adv|aquí=here coord|y=and v|deci-1S&PRES=say adv|no=no cop|se-3S&PRES=be pro:dem|éste=this_one coord|y=and adv|luego=afterwards adv|ya=already adv|ya=already adv|ya=already v|juga-1P&PRES&PRET=play prep|con=with det:dem|este=this .,%svd:,ir,DP-def,,1,3,s,pres,,,,,
2573,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1403,v|i-1p&pres=go,cuando se va la miss@s:e vamos al salón aquí y digo no es éste y luego ya ya ya jugamos con este .%mor: conj|cuando=when pro:refl|se=itself v|i-3S&PRES=go det:art|el&f&SG=the L2|miss v|i-1P&PRES=go aprep|a~det:art|el&m=to n|salón&m=hall adv|aquí=here coord|y=and v|deci-1S&PRES=say adv|no=no cop|se-3S&PRES=be pro:dem|éste=this_one coord|y=and adv|luego=afterwards adv|ya=already adv|ya=already adv|ya=already v|juga-1P&PRES&PRET=play prep|con=with det:dem|este=this .,%svd:,ir,0,,1,1,p,pres,switch,switch,,,
2574,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4:10,.,Target_Child,.,.,1403,v|deci-1s&pres=say,cuando se va la miss@s:e vamos al salón aquí y digo no es éste y luego ya ya ya jugamos con este .%mor: conj|cuando=when pro:refl|se=itself v|i-3S&PRES=go det:art|el&f&SG=the L2|miss v|i-1P&PRES=go aprep|a~det:art|el&m=to n|salón&m=hall adv|aquí=here coord|y=and v|deci-1S&PRES=say adv|no=no cop|se-3S&PRES=be pro:dem|éste=this_one coord|y=and adv|luego=afterwards adv|ya=already adv|ya=already adv|ya=already v|juga-1P&PRES&PRET=play prep|con=with det:dem|este=this .,%svd:,decir,0,,1,1,s,pres,switch?,switch?,,this may be an aside,
2575,SLV-2008-06-20-MV-tagged.cha,spa,CHILEMEX,CHI,.,.,4;10,.,Target_Child,.,.,1403,cop|se-3s&pres=be,cuando se va la miss@s:e vamos al salón aquí y digo no es éste y luego ya ya ya jugamos con este .%mor: conj|cuando=when pro:refl|se=itself v|i-3S&PRES=go det:art|el&f&SG=the L2|miss v|i-1P&PRES=go aprep|a~det:art|el&m=to n|salón&m=hall adv|aquí=here coord|y=and v|deci-1S&PRES=say adv|no=no cop|se-3S&PRES=be pro:dem|éste=this_one coord|y=and adv|luego=afterwards adv|ya=already adv|ya=already adv|ya=already v|juga-1P&PRES&PRET=play prep|con=with det:dem|este=this .,%svd:,ser,0,,0,3,s,pres,,,,,
