original_order,file,filetype,language,corpus,participant,.,sex,.,.,role,.,name,line,token,environment,tier,stem,nullovert,animacy,person,number,tma,reference_utt,reference_turn,embedding,notes
3410,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,233,.,ahí .%mor: adv|ahí=there .,%mor:,0,,,0,0,0,,,,
3411,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,235,.,"ahí, (es)perá, (es)perá .%mor: adv|ahí=there cm|cm imp|espera-2S&IMP=wait cm|cm imp|espera-2S&IMP=wait .",%mor:,0,,,0,0,0,,,,
3412,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,238,.,acá .%mor: adv|acá=there .,%mor:,0,,,0,0,0,,,,
3413,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,240,.,mira .%mor: co|mira=look .,%mor:,0,,,0,0,0,,,,
3414,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,242,.,quiero el que se (es)tá girando .%mor: v|quere-1S&PRES=want det:art|el&m&SG=the pro:rel|que=that pro:refl|se=itself aux|esta-3S&PRES=be part|gira-PROG=revolve .,%mor:,0,,,0,0,0,,,,
3415,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,242,v|quere-1s&pres=want,quiero el que se (es)tá girando .%mor: v|quere-1S&PRES=want det:art|el&m&SG=the pro:rel|que=that pro:refl|se=itself aux|esta-3S&PRES=be part|gira-PROG=revolve .,%svd:,querer,0,1,1,s,pres,,,,
3416,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,242,aux|esta-3s&pres=be,quiero el que se (es)tá girando .%mor: v|quere-1S&PRES=want det:art|el&m&SG=the pro:rel|que=that pro:refl|se=itself aux|esta-3S&PRES=be part|gira-PROG=revolve .,%svd:,estar,na,na,na,na,na,na,na,na,relative clause
3417,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,245,?,&eh ?,%mor:,0,,,0,0,0,,,,
3418,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,246,.,ya quiero pintarse más .%mor: adv|ya=already v|quere-1S&PRES=want inf|pinta-INF~pro:clit|3S&REFL=paint adv|más=more .,%mor:,0,,,0,0,0,,,,
3419,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,246,v|quere-1s&pres=want,ya quiero pintarse más .%mor: adv|ya=already v|quere-1S&PRES=want inf|pinta-INF~pro:clit|3S&REFL=paint adv|más=more .,%svd:,querer,0,1,1,s,pres,,,,
3420,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,249,.,&ah sí .%mor: co|sí=yes .,%mor:,0,,,0,0,0,,,,
3421,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,251,.,porque vo(s) no e(s) la única que e(s)tás acá .%mor: conj|porque=because pro:obj|vos=you adv|no=no cop|se-3S&PRES=be det:art|el&f&SG=the adj|único-f=only pro:rel|que=that cop|esta-2S&PRES=be adv|acá=there .,%mor:,0,,,0,0,0,,,,
3422,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,251,cop|se-3s&pres=be,porque vo(s) no e(s) la única que e(s)tás acá .%mor: conj|porque=because pro:obj|vos=you adv|no=no cop|se-3S&PRES=be det:art|el&f&SG=the adj|único-f=only pro:rel|que=that cop|esta-2S&PRES=be adv|acá=there .,%svd:,ser,1,1,2,s,pres,,,switch,morfological error
3423,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,251,cop|esta-2s&pres=be,porque vo(s) no e(s) la única que e(s)tás acá .%mor: conj|porque=because pro:obj|vos=you adv|no=no cop|se-3S&PRES=be det:art|el&f&SG=the adj|único-f=only pro:rel|que=that cop|esta-2S&PRES=be adv|acá=there .,%svd:,estar,na,na,na,na,na,na,na,na,relative clause
3424,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,255,.,&ay vosh [: vos] .%mor: pro:obj|vos=you .,%mor:,0,,,0,0,0,,,,
3425,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,257,.,y vo(s) tené(s) que venir a jugar con mami .%mor: coord|y=and pro:obj|vos=you v|tene-2S&PRES=have pro:rel|que=that inf|veni-INF=come aprep|a=to inf|juga-INF=play prep|con=with n|mami&f=mommy .,%mor:,0,,,0,0,0,,,,
3426,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,257,v|tene-2s&pres=have,y vo(s) tené(s) que venir a jugar con mami .%mor: coord|y=and pro:obj|vos=you v|tene-2S&PRES=have pro:rel|que=that inf|veni-INF=come aprep|a=to inf|juga-INF=play prep|con=with n|mami&f=mommy .,%svd:,tener,1,1,2,s,pres,,,,
3427,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,261,.,ya sé .%mor: adv|ya=already v|sabe-1S&PRES=know .,%mor:,0,,,0,0,0,,,,
3428,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,261,v|sabe-1s&pres=know,ya sé .%mor: adv|ya=already v|sabe-1S&PRES=know .,%svd:,saber,0,1,1,s,pres,,,,
3429,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,263,.,y vení .%mor: coord|y=and imp|veni-2S&IMP=come .,%mor:,0,,,0,0,0,,,,
3430,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,265,.,ya sé que pasa xxx .%mor: adv|ya=already v|sabe-1S&PRES=know pro:rel|que=that v|pasa-3S&PRES=pass .,%mor:,0,,,0,0,0,,,,
3431,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,265,v|sabe-1s&pres=know,ya sé que pasa xxx .%mor: adv|ya=already v|sabe-1S&PRES=know pro:rel|que=that v|pasa-3S&PRES=pass .,%svd:,saber,0,1,1,s,pres,,,,
3432,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,265,v|pasa-3s&pres=pass,ya sé que pasa xxx .%mor: adv|ya=already v|sabe-1S&PRES=know pro:rel|que=that v|pasa-3S&PRES=pass .,%svd:,pasar,wh,0,3,s,pres,,,,
3433,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,268,.,ya quiero girar .%mor: adv|ya=already v|quere-1S&PRES=want inf|gira-INF=revolve .,%mor:,0,,,0,0,0,,,,
3434,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,268,v|quere-1s&pres=want,ya quiero girar .%mor: adv|ya=already v|quere-1S&PRES=want inf|gira-INF=revolve .,%svd:,querer,0,1,1,s,pres,,same,,
3435,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,270,?,vo(s) queré(s) girar ?%mor: pro:obj|vos=you v|quere-2S&PRES=want inf|gira-INF=revolve ?,%mor:,0,,,0,0,0,,,,
3436,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,270,v|quere-2s&pres=want,vo(s) queré(s) girar ?%mor: pro:obj|vos=you v|quere-2S&PRES=want inf|gira-INF=revolve ?,%svd:,querer,1,1,2,s,pres,,,,
3437,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,272,?,queré(s) gira(r) girasol ?%mor: v|quere-2S&PRES=want inf|gira-INF=revolve n|girasol&m=sunflower ?,%mor:,0,,,0,0,0,,,,
3438,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,272,v|quere-2s&pres=want,queré(s) gira(r) girasol ?%mor: v|quere-2S&PRES=want inf|gira-INF=revolve n|girasol&m=sunflower ?,%svd:,querer,0,1,2,s,pres,,same,,
3439,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,274,.,claro .%mor: co|claro=obvious .,%mor:,0,,,0,0,0,,,,
3440,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,276,.,"pero, pero no tanto .%mor: conj|pero=but cm|cm conj|pero=but adv|no=no adj|tanto-m=so_much .",%mor:,0,,,0,0,0,,,,
3441,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,278,.,que sí quiero .%mor: conj|que=that co|sí=yes v|quere-1S&PRES=want .,%mor:,0,,,0,0,0,,,,
3442,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,278,v|quere-1s&pres=want,que sí quiero .%mor: conj|que=that co|sí=yes v|quere-1S&PRES=want .,%svd:,querer,0,1,1,s,pres,,,,
3443,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,280,.,vení .%mor: imp|veni-2S&IMP=come .,%mor:,0,,,0,0,0,,,,
3444,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,282,.,"ya mami, no te enojes .%mor: adv|ya=already n|mami&f=mommy cm|cm co|no=no pro:obj|te=you v|enoja-2S&SUB&PRES=annoy .",%mor:,0,,,0,0,0,,,,
3445,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,282,v|enoja-2s&sub&pres=annoy,"ya mami, no te enojes .%mor: adv|ya=already n|mami&f=mommy cm|cm co|no=no pro:obj|te=you v|enoja-2S&SUB&PRES=annoy .",%svd:,enojar,na,na,na,na,na,na,na,na,imperative
3446,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,285,.,no e(s)toy enojando .%mor: adv|no=no aux|esta-1S&PRES=be part|enoja-PROG=annoy .,%mor:,0,,,0,0,0,,,,
3447,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,285,aux|esta-1s&pres=be,no e(s)toy enojando .%mor: adv|no=no aux|esta-1S&PRES=be part|enoja-PROG=annoy .,%svd:,estar,0,1,1,s,pres,,,,
3448,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,287,.,te e(s)toy diciendo que vengas .%mor: pro:obj|te=you aux|esta-1S&PRES=be part|deci-PROG=say pro:rel|que=that v|venga-2S&PRES=avenge .,%mor:,0,,,0,0,0,,,,
3449,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,287,aux|esta-1s&pres=be,te e(s)toy diciendo que vengas .%mor: pro:obj|te=you aux|esta-1S&PRES=be part|deci-PROG=say pro:rel|que=that v|venga-2S&PRES=avenge .,%svd:,estar,0,1,1,s,pres,,same,,
3450,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,287,v|venga-2s&pres=avenge,te e(s)toy diciendo que vengas .%mor: pro:obj|te=you aux|esta-1S&PRES=be part|deci-PROG=say pro:rel|que=that v|venga-2S&PRES=avenge .,%svd:,vengar,,1,2,s,pres,switch,switch,,tag error
3451,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,290,.,"pero si yo, si yo vengo vo(s) no quer(r)á(s) saber que yo no estoy .%mor: conj|pero=but conj|si=if pro:sub|yo=I cm|cm conj|si=if pro:sub|yo=I v|veni-1S&PRES=come pro:obj|vos=you adv|no=no v|quere-2S&FUT=want inf|sabe-INF=know conj|que=that pro:sub|yo=I adv|no=no aux|esta-1S&PRES=be .",%mor:,0,,,0,0,0,,,,
3452,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,290,v|veni-1s&pres=come,"pero si yo, si yo vengo vo(s) no quer(r)á(s) saber que yo no estoy .%mor: conj|pero=but conj|si=if pro:sub|yo=I cm|cm conj|si=if pro:sub|yo=I v|veni-1S&PRES=come pro:obj|vos=you adv|no=no v|quere-2S&FUT=want inf|sabe-INF=know conj|que=that pro:sub|yo=I adv|no=no aux|esta-1S&PRES=be .",%svd:,venir,1,1,1,s,pres,,,,
3453,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,290,v|quere-2s&fut=want,"pero si yo, si yo vengo vo(s) no quer(r)á(s) saber que yo no estoy .%mor: conj|pero=but conj|si=if pro:sub|yo=I cm|cm conj|si=if pro:sub|yo=I v|veni-1S&PRES=come pro:obj|vos=you adv|no=no v|quere-2S&FUT=want inf|sabe-INF=know conj|que=that pro:sub|yo=I adv|no=no aux|esta-1S&PRES=be .",%svd:,querer,1,1,2,s,fut=,switch,switch,,
3454,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,290,aux|esta-1s&pres=be,"pero si yo, si yo vengo vo(s) no quer(r)á(s) saber que yo no estoy .%mor: conj|pero=but conj|si=if pro:sub|yo=I cm|cm conj|si=if pro:sub|yo=I v|veni-1S&PRES=come pro:obj|vos=you adv|no=no v|quere-2S&FUT=want inf|sabe-INF=know conj|que=that pro:sub|yo=I adv|no=no aux|esta-1S&PRES=be .",%svd:,estar,1,1,1,s,pres,switch,switch,,
3455,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,295,.,"bueno, voy a estar ahí .%mor: co|bueno=good cm|cm v|i-1S&PRES=go aprep|a=to inf|esta-INF=be adv|ahí=there .",%mor:,0,,,0,0,0,,,,
3456,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,295,v|i-1s&pres=go,"bueno, voy a estar ahí .%mor: co|bueno=good cm|cm v|i-1S&PRES=go aprep|a=to inf|esta-INF=be adv|ahí=there .",%svd:,ir,0,1,1,s,pres,,same,,
3457,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,298,.,"voy, voy a llama(r) la señorita .%mor: v|i-1S&PRES=go cm|cm v|i-1S&PRES=go aprep|a=to inf|llama-INF=call det:art|el&f&SG=the co:voc|señorita=lady .",%mor:,0,,,0,0,0,,,,
3458,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,298,v|i-1s&pres=go,"voy, voy a llama(r) la señorita .%mor: v|i-1S&PRES=go cm|cm v|i-1S&PRES=go aprep|a=to inf|llama-INF=call det:art|el&f&SG=the co:voc|señorita=lady .",%svd:,ir,na,na,na,na,na,na,na,na,false start
3459,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,298,v|i-1s&pres=go,"voy, voy a llama(r) la señorita .%mor: v|i-1S&PRES=go cm|cm v|i-1S&PRES=go aprep|a=to inf|llama-INF=call det:art|el&f&SG=the co:voc|señorita=lady .",%svd:,ir,0,1,1,s,pres,,same,,
3460,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,301,.,no .%mor: adv|no=no .,%mor:,0,,,0,0,0,,,,
3461,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,303,.,con e(l) teléfono .%mor: prep|con=with det:art|el&m&SG=the n|teléfono&m=telephone .,%mor:,0,,,0,0,0,,,,
3462,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,305,.,&ah .,%mor:,0,,,0,0,0,,,,
3463,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,306,.,&ring .,%mor:,0,,,0,0,0,,,,
3464,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,307,.,"+"" hola señorita .%mor: co|hola=hi co:voc|señorita=lady .",%mor:,0,,,0,0,0,,,,
3465,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,309,.,"+"" sí .%mor: co|sí=yes .",%mor:,0,,,0,0,0,,,,
3466,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,311,.,"+"" hola, hola .%mor: co|hola=hi cm|cm co|hola=hi .",%mor:,0,,,0,0,0,,,,
3467,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,313,.,cambio .%mor: n|cambio&m=change .,%mor:,0,,,0,0,0,,,,
3468,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,315,.,a ver si e(s)tá afuera .%mor: aprep|a=to inf|ve-INF=see conj|si=if cop|esta-3S&PRES=be adv|afuera=outside .,%mor:,0,,,0,0,0,,,,
3469,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,315,cop|esta-3s&pres=be,a ver si e(s)tá afuera .%mor: aprep|a=to inf|ve-INF=see conj|si=if cop|esta-3S&PRES=be adv|afuera=outside .,%svd:,estar,0,1,3,s,pres,,,,
3470,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,320,.,acá vení con mamá .%mor: adv|acá=there imp|veni-2S&IMP=come prep|con=with n|mamá&f=mommy .,%mor:,0,,,0,0,0,,,,
3471,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,322,.,vení acá .%mor: imp|veni-2S&IMP=come adv|acá=there .,%mor:,0,,,0,0,0,,,,
3472,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,324,.,la veo .%mor: pro:obj|la&f=she v|ve-1S&PRES=see .,%mor:,0,,,0,0,0,,,,
3473,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,324,v|ve-1s&pres=see,la veo .%mor: pro:obj|la&f=she v|ve-1S&PRES=see .,%svd:,ver,0,1,1,s,pres,,,,
3474,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,326,.,"mami, la veo a Sabrina .%mor: n|mami&f=mommy cm|cm det:art|el&f&SG=the v|ve-1S&PRES=see aprep|a=to n:prop|Sabrina .",%mor:,0,,,0,0,0,,,,
3475,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,326,v|ve-1s&pres=see,"mami, la veo a Sabrina .%mor: n|mami&f=mommy cm|cm det:art|el&f&SG=the v|ve-1S&PRES=see aprep|a=to n:prop|Sabrina .",%svd:,ver,0,1,1,s,pres,,same,,
3476,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,329,.,"y claro, está sentada Sabrina .%mor: coord|y=and co|claro=obvious cm|cm cop|esta-3S&PRES=be part|senta-PPART-f=sit n:prop|Sabrina .",%mor:,0,,,0,0,0,,,,
3476,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,329,cop|esta-3S&PRES=be,"y claro, está sentada Sabrina .%mor: coord|y=and co|claro=obvious cm|cm cop|esta-3S&PRES=be part|senta-PPART-f=sit n:prop|Sabrina .",%svd:,estar,proper,1,3,s,PRES,,,,
3477,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,332,.,vení .%mor: imp|veni-2S&IMP=come .,%mor:,0,,,0,0,0,,,,
3478,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,334,.,quiero girar .%mor: v|quere-1S&PRES=want inf|gira-INF=revolve .,%mor:,0,,,0,0,0,,,,
3479,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,334,v|quere-1s&pres=want,quiero girar .%mor: v|quere-1S&PRES=want inf|gira-INF=revolve .,%svd:,querer,0,1,1,s,pres,,,,
3480,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,336,.,pero yo te prometí que hacía sola .%mor: conj|pero=but pro:sub|yo=I pro:obj|te=you v|promete-1S&PRET=promise conj|que=that v|hace-13S&PAS=do adj|solo-f=alone .,%mor:,0,,,0,0,0,,,,
3481,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,336,v|promete-1s&pret=promise,pero yo te prometí que hacía sola .%mor: conj|pero=but pro:sub|yo=I pro:obj|te=you v|promete-1S&PRET=promise conj|que=that v|hace-13S&PAS=do adj|solo-f=alone .,%svd:,prometer,1,1,1,s,pret,,same,,
3482,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,336,v|hace-13s&pas=do,pero yo te prometí que hacía sola .%mor: conj|pero=but pro:sub|yo=I pro:obj|te=you v|promete-1S&PRET=promise conj|que=that v|hace-13S&PAS=do adj|solo-f=alone .,%svd:,hacer,0,1,1,s,pas,same,same,,
3483,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,339,.,te prometí yo .%mor: pro:obj|te=you v|promete-1S&PRET=promise pro:sub|yo=I .,%mor:,0,,,0,0,0,,,,
3484,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,339,v|promete-1s&pret=promise,te prometí yo .%mor: pro:obj|te=you v|promete-1S&PRET=promise pro:sub|yo=I .,%svd:,prometer,1,1,1,s,pret,,same,,
3485,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,341,?,&ua pero y vos ?%mor: conj|pero=but coord|y=and pro:obj|vos=you ?,%mor:,0,,,0,0,0,,,,
3486,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,343,.,"vo(s) tené(s) que venir a hacer esto, no yo .%mor: pro:obj|vos=you v|tene-2S&PRES=have prep|que=than inf|veni-INF=come aprep|a=to inf|hace-INF=do pro:dem|esto=this_one cm|cm adv|no=no pro:sub|yo=I .",%mor:,0,,,0,0,0,,,,
3487,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,343,v|tene-2s&pres=have,"vo(s) tené(s) que venir a hacer esto, no yo .%mor: pro:obj|vos=you v|tene-2S&PRES=have prep|que=than inf|veni-INF=come aprep|a=to inf|hace-INF=do pro:dem|esto=this_one cm|cm adv|no=no pro:sub|yo=I .",%svd:,tener,1,1,2,s,pres,,,,
3488,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,347,cop|se-3s&pres=be,pero vos e(s) la única +/.%mor: conj|pero=but pro:obj|vos=you cop|se-3S&PRES=be det:art|el&f&SG=the adj|único-f=only +/.,%mor:,0,,,0,0,0,,,,
3488,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,347,cop|se-3s&pres=be,pero vos e(s) la única +/.%mor: conj|pero=but pro:obj|vos=you cop|se-3S&PRES=be det:art|el&f&SG=the adj|único-f=only +/.,%svd:,ser,1,1,3,s,pres,,,,morfological error
3489,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,350,?,"no, no, no, no, no, no, no, no, no, no, &eh ?%mor: co|no=no cm|cm co|no=no cm|cm co|no=no cm|cm co|no=no cm|cm co|no=no cm|cm co|no=no cm|cm co|no=no cm|cm co|no=no cm|cm co|no=no cm|cm co|no=no cm|cm ?",%mor:,0,,,0,0,0,,,,
3490,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,354,.,sola que vas a estar .%mor: adj|solo-f=alone pro:rel|que=that v|i-2S&PRES=go aprep|a=to inf|esta-INF=be .,%mor:,0,,,0,0,0,,,,
3491,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,CHI,4;08.,female,.,.,Target_Child,.,.,354,v|i-2s&pres=go,sola que vas a estar .%mor: adj|solo-f=alone pro:rel|que=that v|i-2S&PRES=go aprep|a=to inf|esta-INF=be .,%svd:,ir,0,1,2,s,pres,,,,
3492,ABB-LPB-2019-03-18-esp-SDS.cha,chi-mot,spa,change_corpus_later,MOT,.,female,.,.,Mother,.,.,357,.,"no, vení .%mor: co|no=no cm|cm imp|veni-2S&IMP=come .",%mor:,0,,,0,0,0,,,,
